Year,State,Cause,Death_Count
2015,Northern Territory,Chronic respiratory diseases,67
2015,Northern Territory,Cirrhosis and other chronic liver diseases,14
2015,Northern Territory,Conflict and terrorism,0
2015,Northern Territory,Diabetes mellitus,42
2015,Northern Territory,Diarrheal diseases,2
2015,Northern Territory,Digestive diseases,40
2015,Northern Territory,Drowning,2
2015,Northern Territory,Drug use disorders,0
2015,Northern Territory,Environmental heat and cold exposure,0
2015,Northern Territory,Exposure to forces of nature,0
2015,Northern Territory,"Fire, heat, and hot substances",1
2015,Northern Territory,HIV/AIDS,1
2015,Northern Territory,Interpersonal violence,3
2015,Northern Territory,Lower respiratory infections,22
2015,Northern Territory,Malaria,0
2015,Northern Territory,Maternal disorders,1
2015,Northern Territory,Meningitis,1
2015,Northern Territory,Neonatal disorders,7
2015,Northern Territory,Neoplasms,346
2015,Northern Territory,Nutritional deficiencies,2
2015,Northern Territory,Parkinson's disease,14
2015,Northern Territory,Poisonings,7
2015,Northern Territory,Protein-energy malnutrition,1
2015,Northern Territory,Road injuries,16
2015,Northern Territory,Self-harm,27
2015,Northern Territory,Terrorism (deaths),0
2015,Northern Territory,Tuberculosis,1
2015,Queensland,Acute hepatitis,46
2015,Queensland,Alcohol use disorders,52
2015,Queensland,Alzheimer's disease and other dementias,600
2015,Queensland,Cardiovascular diseases,8472
2015,Queensland,Chronic kidney disease,331
2015,Queensland,Chronic respiratory diseases,1544
2015,Queensland,Cirrhosis and other chronic liver diseases,383
2015,Queensland,Conflict and terrorism,0
2015,Queensland,Diabetes mellitus,858
2015,Queensland,Diarrheal diseases,61
2015,Queensland,Digestive diseases,1124
2015,Queensland,Drowning,59
2015,Queensland,Drug use disorders,10
2015,Queensland,Environmental heat and cold exposure,7
2015,Queensland,Exposure to forces of nature,13
2015,Queensland,"Fire, heat, and hot substances",12
2015,Queensland,HIV/AIDS,24
2015,Queensland,Interpersonal violence,70
2015,Queensland,Lower respiratory infections,536
2015,Queensland,Malaria,0
2015,Queensland,Maternal disorders,1
2015,Queensland,Meningitis,2
2015,Queensland,Neonatal disorders,130
2015,Queensland,Neoplasms,9030
2015,Queensland,Nutritional deficiencies,23
2015,Queensland,Parkinson's disease,329
2015,Queensland,Poisonings,259
2015,Queensland,Protein-energy malnutrition,22
2015,Queensland,Road injuries,283
2015,Queensland,Self-harm,761
2015,Queensland,Terrorism (deaths),0
2015,Queensland,Tuberculosis,7
2015,South Australia,Acute hepatitis,15
2015,South Australia,Alcohol use disorders,20
2015,South Australia,Alzheimer's disease and other dementias,441
2015,South Australia,Cardiovascular diseases,3879
2015,South Australia,Chronic kidney disease,168
2015,South Australia,Chronic respiratory diseases,671
2015,South Australia,Cirrhosis and other chronic liver diseases,167
2015,South Australia,Conflict and terrorism,0
2015,South Australia,Diabetes mellitus,430
2015,South Australia,Diarrheal diseases,25
2015,South Australia,Digestive diseases,456
2015,South Australia,Drowning,12
2015,South Australia,Drug use disorders,5
2015,South Australia,Environmental heat and cold exposure,5
2015,South Australia,Exposure to forces of nature,2
2015,South Australia,"Fire, heat, and hot substances",9
2015,South Australia,HIV/AIDS,3
2015,South Australia,Interpersonal violence,22
2015,South Australia,Lower respiratory infections,332
2015,South Australia,Malaria,0
2015,South Australia,Maternal disorders,1
2015,South Australia,Meningitis,1
2015,South Australia,Neonatal disorders,32
2015,South Australia,Neoplasms,3946
2015,South Australia,Nutritional deficiencies,9
2015,South Australia,Parkinson's disease,154
2015,South Australia,Poisonings,54
2015,South Australia,Protein-energy malnutrition,9
2015,South Australia,Road injuries,139
2015,South Australia,Self-harm,233
2015,South Australia,Terrorism (deaths),0
2015,South Australia,Tuberculosis,3
2015,Tasmania,Acute hepatitis,4
2015,Tasmania,Alcohol use disorders,10
2015,Tasmania,Alzheimer's disease and other dementias,69
2015,Tasmania,Cardiovascular diseases,1237
2015,Tasmania,Chronic kidney disease,52
2015,Tasmania,Chronic respiratory diseases,253
2015,Tasmania,Cirrhosis and other chronic liver diseases,53
2015,Tasmania,Conflict and terrorism,0
2015,Tasmania,Diabetes mellitus,159
2015,Tasmania,Diarrheal diseases,9
2015,Tasmania,Digestive diseases,151
2015,Tasmania,Drowning,7
2015,Tasmania,Drug use disorders,1
2015,Tasmania,Environmental heat and cold exposure,0
2015,Tasmania,Exposure to forces of nature,2
2015,Tasmania,"Fire, heat, and hot substances",2
2015,Tasmania,HIV/AIDS,5
2015,Tasmania,Interpersonal violence,14
2015,Tasmania,Lower respiratory infections,87
2015,Tasmania,Malaria,0
2015,Tasmania,Maternal disorders,2
2015,Tasmania,Meningitis,5
2015,Tasmania,Neonatal disorders,23
2015,Tasmania,Neoplasms,1308
2015,Tasmania,Nutritional deficiencies,6
2015,Tasmania,Parkinson's disease,52
2015,Tasmania,Poisonings,26
2015,Tasmania,Protein-energy malnutrition,2
2015,Tasmania,Road injuries,60
2015,Tasmania,Self-harm,103
2015,Tasmania,Terrorism (deaths),0
2015,Tasmania,Tuberculosis,3
2015,Victoria,Acute hepatitis,70
2015,Victoria,Alcohol use disorders,58
2015,Victoria,Alzheimer's disease and other dementias,1144
2015,Victoria,Cardiovascular diseases,11425
2015,Victoria,Chronic kidney disease,696
2015,Victoria,Chronic respiratory diseases,2040
2015,Victoria,Cirrhosis and other chronic liver diseases,449
2015,Victoria,Conflict and terrorism,0
2015,Victoria,Diabetes mellitus,1145
2015,Victoria,Diarrheal diseases,76
2015,Victoria,Digestive diseases,1491
2015,Victoria,Drowning,26
2015,Victoria,Drug use disorders,17
2015,Victoria,Environmental heat and cold exposure,3
2015,Victoria,Exposure to forces of nature,2
2015,Victoria,"Fire, heat, and hot substances",16
2015,Victoria,HIV/AIDS,21
2015,Victoria,Interpersonal violence,61
2015,Victoria,Lower respiratory infections,1050
2015,Victoria,Malaria,0
2015,Victoria,Maternal disorders,1
2015,Victoria,Meningitis,6
2015,Victoria,Neonatal disorders,88
2015,Victoria,Neoplasms,11494
2015,Victoria,Nutritional deficiencies,23
2015,Victoria,Parkinson's disease,412
2015,Victoria,Poisonings,305
2015,Victoria,Protein-energy malnutrition,22
2015,Victoria,Road injuries,317
2015,Victoria,Self-harm,686
2015,Victoria,Terrorism (deaths),0
2015,Victoria,Tuberculosis,11
2015,Western Australia,Acute hepatitis,24
2015,Western Australia,Alcohol use disorders,22
2015,Western Australia,Alzheimer's disease and other dementias,452
2015,Western Australia,Cardiovascular diseases,3839
2015,Western Australia,Chronic kidney disease,274
2015,Western Australia,Chronic respiratory diseases,637
2015,Western Australia,Cirrhosis and other chronic liver diseases,159
2015,Western Australia,Conflict and terrorism,0
2015,Western Australia,Diabetes mellitus,429
2015,Western Australia,Diarrheal diseases,21
2015,Western Australia,Digestive diseases,515
2015,Western Australia,Drowning,20
2015,Western Australia,Drug use disorders,6
2015,Western Australia,Environmental heat and cold exposure,5
2015,Western Australia,Exposure to forces of nature,6
2015,Western Australia,"Fire, heat, and hot substances",6
2015,Western Australia,HIV/AIDS,6
2015,Western Australia,Interpersonal violence,31
2015,Western Australia,Lower respiratory infections,402
2015,Western Australia,Malaria,0
2015,Western Australia,Maternal disorders,0
2015,Western Australia,Meningitis,2
2015,Western Australia,Neonatal disorders,44
2015,Western Australia,Neoplasms,4206
2015,Western Australia,Nutritional deficiencies,11
2015,Western Australia,Parkinson's disease,134
2015,Western Australia,Poisonings,183
2015,Western Australia,Protein-energy malnutrition,10
2015,Western Australia,Road injuries,193
2015,Western Australia,Self-harm,402
2015,Western Australia,Terrorism (deaths),0
2015,Western Australia,Tuberculosis,6
2016,Australian Capital Territory,Acute hepatitis,4
2016,Australian Capital Territory,Alcohol use disorders,5
2016,Australian Capital Territory,Alzheimer's disease and other dementias,27
2016,Australian Capital Territory,Cardiovascular diseases,566
2016,Australian Capital Territory,Chronic kidney disease,28
2016,Australian Capital Territory,Chronic respiratory diseases,123
2016,Australian Capital Territory,Cirrhosis and other chronic liver diseases,25
2016,Australian Capital Territory,Conflict and terrorism,0
2016,Australian Capital Territory,Diabetes mellitus,78
2016,Australian Capital Territory,Diarrheal diseases,3
2016,Australian Capital Territory,Digestive diseases,74
2016,Australian Capital Territory,Drowning,4
2016,Australian Capital Territory,Drug use disorders,1
2016,Australian Capital Territory,Environmental heat and cold exposure,0
2016,Australian Capital Territory,Exposure to forces of nature,3
2016,Australian Capital Territory,"Fire, heat, and hot substances",0
2016,Australian Capital Territory,HIV/AIDS,0
2016,Australian Capital Territory,Interpersonal violence,4
2016,Australian Capital Territory,Lower respiratory infections,37
2016,Australian Capital Territory,Malaria,0
2016,Australian Capital Territory,Maternal disorders,1
2016,Australian Capital Territory,Meningitis,0
2016,Australian Capital Territory,Neonatal disorders,12
2016,Australian Capital Territory,Neoplasms,601
2016,Australian Capital Territory,Nutritional deficiencies,4
2016,Australian Capital Territory,Parkinson's disease,19
2016,Australian Capital Territory,Poisonings,19
2016,Australian Capital Territory,Protein-energy malnutrition,2
2016,Australian Capital Territory,Road injuries,26
2016,Australian Capital Territory,Self-harm,46
2016,Australian Capital Territory,Terrorism (deaths),0
2016,Australian Capital Territory,Tuberculosis,0
2016,New South Wales,Acute hepatitis,98
2016,New South Wales,Alcohol use disorders,106
2016,New South Wales,Alzheimer's disease and other dementias,1157
2016,New South Wales,Cardiovascular diseases,15311
2016,New South Wales,Chronic kidney disease,703
2016,New South Wales,Chronic respiratory diseases,2813
2016,New South Wales,Cirrhosis and other chronic liver diseases,641
2016,New South Wales,Conflict and terrorism,0
2016,New South Wales,Diabetes mellitus,1680
2016,New South Wales,Diarrheal diseases,106
2016,New South Wales,Digestive diseases,1973
2016,New South Wales,Drowning,66
2016,New South Wales,Drug use disorders,13
2016,New South Wales,Environmental heat and cold exposure,6
2016,New South Wales,Exposure to forces of nature,8
2016,New South Wales,"Fire, heat, and hot substances",15
2016,New South Wales,HIV/AIDS,44
2016,New South Wales,Interpersonal violence,77
2016,New South Wales,Lower respiratory infections,1126
2016,New South Wales,Malaria,0
2016,New South Wales,Maternal disorders,1
2016,New South Wales,Meningitis,9
2016,New South Wales,Neonatal disorders,173
2016,New South Wales,Neoplasms,15446
2016,New South Wales,Nutritional deficiencies,50
2016,New South Wales,Parkinson's disease,642
2016,New South Wales,Poisonings,459
2016,New South Wales,Protein-energy malnutrition,44
2016,New South Wales,Road injuries,433
2016,New South Wales,Self-harm,821
2016,New South Wales,Terrorism (deaths),0
2016,New South Wales,Tuberculosis,14
2016,Northern Territory,Acute hepatitis,3
2016,Northern Territory,Alcohol use disorders,3
2016,Northern Territory,Alzheimer's disease and other dementias,15
2016,Northern Territory,Cardiovascular diseases,312
2016,Northern Territory,Chronic kidney disease,16
2016,Northern Territory,Chronic respiratory diseases,68
2016,Northern Territory,Cirrhosis and other chronic liver diseases,14
2016,Northern Territory,Conflict and terrorism,0
2016,Northern Territory,Diabetes mellitus,43
2016,Northern Territory,Diarrheal diseases,1
2016,Northern Territory,Digestive diseases,40
2016,Northern Territory,Drowning,2
2016,Northern Territory,Drug use disorders,1
2016,Northern Territory,Environmental heat and cold exposure,0
2016,Northern Territory,Exposure to forces of nature,1
2016,Northern Territory,"Fire, heat, and hot substances",0
2016,Northern Territory,HIV/AIDS,0
2016,Northern Territory,Interpersonal violence,3
2016,Northern Territory,Lower respiratory infections,20
2016,Northern Territory,Malaria,0
2016,Northern Territory,Maternal disorders,0
2016,Northern Territory,Meningitis,0
2016,Northern Territory,Neonatal disorders,7
2016,Northern Territory,Neoplasms,331
2016,Northern Territory,Nutritional deficiencies,2
2016,Northern Territory,Parkinson's disease,11
2016,Northern Territory,Poisonings,10
2016,Northern Territory,Protein-energy malnutrition,1
2016,Northern Territory,Road injuries,14
2016,Northern Territory,Self-harm,26
2016,Northern Territory,Terrorism (deaths),0
2016,Northern Territory,Tuberculosis,0
2016,Queensland,Acute hepatitis,59
2016,Queensland,Alcohol use disorders,54
2016,Queensland,Alzheimer's disease and other dementias,602
2016,Queensland,Cardiovascular diseases,8366
2016,Queensland,Chronic kidney disease,306
2016,Queensland,Chronic respiratory diseases,1547
2016,Queensland,Cirrhosis and other chronic liver diseases,324
2016,Queensland,Conflict and terrorism,0
2016,Queensland,Diabetes mellitus,845
2016,Queensland,Diarrheal diseases,39
2016,Queensland,Digestive diseases,1040
2016,Queensland,Drowning,60
2016,Queensland,Drug use disorders,12
2016,Queensland,Environmental heat and cold exposure,7
2016,Queensland,Exposure to forces of nature,7
2016,Queensland,"Fire, heat, and hot substances",20
2016,Queensland,HIV/AIDS,14
2016,Queensland,Interpersonal violence,47
2016,Queensland,Lower respiratory infections,555
2016,Queensland,Malaria,0
2016,Queensland,Maternal disorders,3
2016,Queensland,Meningitis,3
2016,Queensland,Neonatal disorders,134
2016,Queensland,Neoplasms,9240
2016,Queensland,Nutritional deficiencies,18
2016,Queensland,Parkinson's disease,309
2016,Queensland,Poisonings,267
2016,Queensland,Protein-energy malnutrition,17
2016,Queensland,Road injuries,303
2016,Queensland,Self-harm,688
2016,Queensland,Terrorism (deaths),0
2016,Queensland,Tuberculosis,10
2016,South Australia,Acute hepatitis,14
2016,South Australia,Alcohol use disorders,17
2016,South Australia,Alzheimer's disease and other dementias,487
2016,South Australia,Cardiovascular diseases,3685
2016,South Australia,Chronic kidney disease,176
2016,South Australia,Chronic respiratory diseases,689
2016,South Australia,Cirrhosis and other chronic liver diseases,178
2016,South Australia,Conflict and terrorism,0
2016,South Australia,Diabetes mellitus,438
2016,South Australia,Diarrheal diseases,23
2016,South Australia,Digestive diseases,518
2016,South Australia,Drowning,9
2016,South Australia,Drug use disorders,3
2016,South Australia,Environmental heat and cold exposure,4
2016,South Australia,Exposure to forces of nature,3
2016,South Australia,"Fire, heat, and hot substances",1
2016,South Australia,HIV/AIDS,16
2016,South Australia,Interpersonal violence,19
2016,South Australia,Lower respiratory infections,332
2016,South Australia,Malaria,0
2016,South Australia,Maternal disorders,1
2016,South Australia,Meningitis,0
2016,South Australia,Neonatal disorders,34
2016,South Australia,Neoplasms,3707
2016,South Australia,Nutritional deficiencies,13
2016,South Australia,Parkinson's disease,143
2016,South Australia,Poisonings,93
2016,South Australia,Protein-energy malnutrition,12
2016,South Australia,Road injuries,101
2016,South Australia,Self-harm,221
2016,South Australia,Terrorism (deaths),0
2016,South Australia,Tuberculosis,4
2016,Tasmania,Acute hepatitis,9
2016,Tasmania,Alcohol use disorders,10
2016,Tasmania,Alzheimer's disease and other dementias,57
2016,Tasmania,Cardiovascular diseases,1178
2016,Tasmania,Chronic kidney disease,58
2016,Tasmania,Chronic respiratory diseases,256
2016,Tasmania,Cirrhosis and other chronic liver diseases,53
2016,Tasmania,Conflict and terrorism,0
2016,Tasmania,Diabetes mellitus,163
2016,Tasmania,Diarrheal diseases,6
2016,Tasmania,Digestive diseases,154
2016,Tasmania,Drowning,7
2016,Tasmania,Drug use disorders,3
2016,Tasmania,Environmental heat and cold exposure,0
2016,Tasmania,Exposure to forces of nature,6
2016,Tasmania,"Fire, heat, and hot substances",0
2016,Tasmania,HIV/AIDS,0
2016,Tasmania,Interpersonal violence,9
2016,Tasmania,Lower respiratory infections,77
2016,Tasmania,Malaria,0
2016,Tasmania,Maternal disorders,2
2016,Tasmania,Meningitis,0
2016,Tasmania,Neonatal disorders,26
2016,Tasmania,Neoplasms,1251
2016,Tasmania,Nutritional deficiencies,8
2016,Tasmania,Parkinson's disease,40
2016,Tasmania,Poisonings,40
2016,Tasmania,Protein-energy malnutrition,3
2016,Tasmania,Road injuries,54
2016,Tasmania,Self-harm,96
2016,Tasmania,Terrorism (deaths),0
2016,Tasmania,Tuberculosis,0
2016,Victoria,Acute hepatitis,58
2016,Victoria,Alcohol use disorders,52
2016,Victoria,Alzheimer's disease and other dementias,1211
2016,Victoria,Cardiovascular diseases,11091
2016,Victoria,Chronic kidney disease,658
2016,Victoria,Chronic respiratory diseases,1948
2016,Victoria,Cirrhosis and other chronic liver diseases,407
2016,Victoria,Conflict and terrorism,0
2016,Victoria,Diabetes mellitus,1130
2016,Victoria,Diarrheal diseases,73
2016,Victoria,Digestive diseases,1473
2016,Victoria,Drowning,37
2016,Victoria,Drug use disorders,9
2016,Victoria,Environmental heat and cold exposure,6
2016,Victoria,Exposure to forces of nature,3
2016,Victoria,"Fire, heat, and hot substances",17
2016,Victoria,HIV/AIDS,31
2016,Victoria,Interpersonal violence,67
2016,Victoria,Lower respiratory infections,1045
2016,Victoria,Malaria,0
2016,Victoria,Maternal disorders,5
2016,Victoria,Meningitis,6
2016,Victoria,Neonatal disorders,122
2016,Victoria,Neoplasms,11584
2016,Victoria,Nutritional deficiencies,31
2016,Victoria,Parkinson's disease,464
2016,Victoria,Poisonings,408
2016,Victoria,Protein-energy malnutrition,30
2016,Victoria,Road injuries,339
2016,Victoria,Self-harm,664
2016,Victoria,Terrorism (deaths),0
2016,Victoria,Tuberculosis,14
2016,Western Australia,Acute hepatitis,20
2016,Western Australia,Alcohol use disorders,22
2016,Western Australia,Alzheimer's disease and other dementias,543
2016,Western Australia,Cardiovascular diseases,3897
2016,Western Australia,Chronic kidney disease,174
2016,Western Australia,Chronic respiratory diseases,695
2016,Western Australia,Cirrhosis and other chronic liver diseases,175
2016,Western Australia,Conflict and terrorism,0
2016,Western Australia,Diabetes mellitus,491
2016,Western Australia,Diarrheal diseases,28
2016,Western Australia,Digestive diseases,545
2016,Western Australia,Drowning,23
2016,Western Australia,Drug use disorders,7
2016,Western Australia,Environmental heat and cold exposure,6
2016,Western Australia,Exposure to forces of nature,3
2016,Western Australia,"Fire, heat, and hot substances",12
2016,Western Australia,HIV/AIDS,17
2016,Western Australia,Interpersonal violence,39
2016,Western Australia,Lower respiratory infections,332
2016,Western Australia,Malaria,0
2016,Western Australia,Maternal disorders,1
2016,Western Australia,Meningitis,6
2016,Western Australia,Neonatal disorders,47
2016,Western Australia,Neoplasms,4433
2016,Western Australia,Nutritional deficiencies,9
2016,Western Australia,Parkinson's disease,159
2016,Western Australia,Poisonings,188
2016,Western Australia,Protein-energy malnutrition,8
2016,Western Australia,Road injuries,213
2016,Western Australia,Self-harm,373
2016,Western Australia,Terrorism (deaths),0
2016,Western Australia,Tuberculosis,4
2017,Australian Capital Territory,Acute hepatitis,3
2017,Australian Capital Territory,Alcohol use disorders,5
2017,Australian Capital Territory,Alzheimer's disease and other dementias,40
2017,Australian Capital Territory,Cardiovascular diseases,596
2017,Australian Capital Territory,Chronic kidney disease,22
2017,Australian Capital Territory,Chronic respiratory diseases,134
2017,Australian Capital Territory,Cirrhosis and other chronic liver diseases,40
2017,Australian Capital Territory,Conflict and terrorism,0
2017,Australian Capital Territory,Diabetes mellitus,80
2017,Australian Capital Territory,Diarrheal diseases,4
2017,Australian Capital Territory,Digestive diseases,100
2017,Australian Capital Territory,Drowning,2
2017,Australian Capital Territory,Drug use disorders,0
2017,Australian Capital Territory,Environmental heat and cold exposure,0
2017,Australian Capital Territory,Exposure to forces of nature,2
2017,Australian Capital Territory,"Fire, heat, and hot substances",1
2017,Australian Capital Territory,HIV/AIDS,3
2017,Australian Capital Territory,Interpersonal violence,3
2017,Australian Capital Territory,Lower respiratory infections,61
2017,Australian Capital Territory,Malaria,0
2017,Australian Capital Territory,Maternal disorders,0
2017,Australian Capital Territory,Meningitis,0
2017,Australian Capital Territory,Neonatal disorders,11
2017,Australian Capital Territory,Neoplasms,650
2017,Australian Capital Territory,Nutritional deficiencies,3
2017,Australian Capital Territory,Parkinson's disease,29
2017,Australian Capital Territory,Poisonings,17
2017,Australian Capital Territory,Protein-energy malnutrition,2
2017,Australian Capital Territory,Road injuries,24
2017,Australian Capital Territory,Self-harm,52
2017,Australian Capital Territory,Terrorism (deaths),0
2017,Australian Capital Territory,Tuberculosis,1
2017,New South Wales,Acute hepatitis,87
2017,New South Wales,Alcohol use disorders,128
2017,New South Wales,Alzheimer's disease and other dementias,1181
2017,New South Wales,Cardiovascular diseases,14762
2017,New South Wales,Chronic kidney disease,754
2017,New South Wales,Chronic respiratory diseases,2881
2017,New South Wales,Cirrhosis and other chronic liver diseases,626
2017,New South Wales,Conflict and terrorism,0
2017,New South Wales,Diabetes mellitus,1616
2017,New South Wales,Diarrheal diseases,117
2017,New South Wales,Digestive diseases,1928
2017,New South Wales,Drowning,53
2017,New South Wales,Drug use disorders,9
2017,New South Wales,Environmental heat and cold exposure,7
2017,New South Wales,Exposure to forces of nature,14
2017,New South Wales,"Fire, heat, and hot substances",25
2017,New South Wales,HIV/AIDS,34
2017,New South Wales,Interpersonal violence,47
2017,New South Wales,Lower respiratory infections,1456
2017,New South Wales,Malaria,0
2017,New South Wales,Maternal disorders,0
2017,New South Wales,Meningitis,8
2017,New South Wales,Neonatal disorders,162
2017,New South Wales,Neoplasms,14857
2017,New South Wales,Nutritional deficiencies,42
2017,New South Wales,Parkinson's disease,627
2017,New South Wales,Poisonings,471
2017,New South Wales,Protein-energy malnutrition,41
2017,New South Wales,Road injuries,386
2017,New South Wales,Self-harm,929
2017,New South Wales,Terrorism (deaths),0
2017,New South Wales,Tuberculosis,17
2017,Northern Territory,Acute hepatitis,2
2017,Northern Territory,Alcohol use disorders,2
2017,Northern Territory,Alzheimer's disease and other dementias,21
2017,Northern Territory,Cardiovascular diseases,328
2017,Northern Territory,Chronic kidney disease,12
2017,Northern Territory,Chronic respiratory diseases,74
2017,Northern Territory,Cirrhosis and other chronic liver diseases,23
2017,Northern Territory,Conflict and terrorism,0
2017,Northern Territory,Diabetes mellitus,45
2017,Northern Territory,Diarrheal diseases,2
2017,Northern Territory,Digestive diseases,55
2017,Northern Territory,Drowning,2
2017,Northern Territory,Drug use disorders,0
2017,Northern Territory,Environmental heat and cold exposure,0
2017,Northern Territory,Exposure to forces of nature,1
2017,Northern Territory,"Fire, heat, and hot substances",0
2017,Northern Territory,HIV/AIDS,1
2017,Northern Territory,Interpersonal violence,2
2017,Northern Territory,Lower respiratory infections,34
2017,Northern Territory,Malaria,0
2017,Northern Territory,Maternal disorders,0
2017,Northern Territory,Meningitis,0
2017,Northern Territory,Neonatal disorders,6
2017,Northern Territory,Neoplasms,358
2017,Northern Territory,Nutritional deficiencies,2
2017,Northern Territory,Parkinson's disease,15
2017,Northern Territory,Poisonings,9
2017,Northern Territory,Protein-energy malnutrition,1
2017,Northern Territory,Road injuries,14
2017,Northern Territory,Self-harm,29
2017,Northern Territory,Terrorism (deaths),0
2017,Northern Territory,Tuberculosis,0
2017,Queensland,Acute hepatitis,39
2017,Queensland,Alcohol use disorders,47
2017,Queensland,Alzheimer's disease and other dementias,686
2017,Queensland,Cardiovascular diseases,8760
2017,Queensland,Chronic kidney disease,301
2017,Queensland,Chronic respiratory diseases,1674
2017,Queensland,Cirrhosis and other chronic liver diseases,400
2017,Queensland,Conflict and terrorism,0
2017,Queensland,Diabetes mellitus,910
2017,Queensland,Diarrheal diseases,59
2017,Queensland,Digestive diseases,1197
2017,Queensland,Drowning,40
2017,Queensland,Drug use disorders,5
2017,Queensland,Environmental heat and cold exposure,5
2017,Queensland,Exposure to forces of nature,9
2017,Queensland,"Fire, heat, and hot substances",5
2017,Queensland,HIV/AIDS,28
2017,Queensland,Interpersonal violence,44
2017,Queensland,Lower respiratory infections,760
2017,Queensland,Malaria,0
2017,Queensland,Maternal disorders,4
2017,Queensland,Meningitis,3
2017,Queensland,Neonatal disorders,152
2017,Queensland,Neoplasms,9559
2017,Queensland,Nutritional deficiencies,32
2017,Queensland,Parkinson's disease,349
2017,Queensland,Poisonings,255
2017,Queensland,Protein-energy malnutrition,28
2017,Queensland,Road injuries,320
2017,Queensland,Self-harm,815
2017,Queensland,Terrorism (deaths),0
2017,Queensland,Tuberculosis,7
2017,South Australia,Acute hepatitis,15
2017,South Australia,Alcohol use disorders,26
2017,South Australia,Alzheimer's disease and other dementias,514
2017,South Australia,Cardiovascular diseases,3726
2017,South Australia,Chronic kidney disease,188
2017,South Australia,Chronic respiratory diseases,693
2017,South Australia,Cirrhosis and other chronic liver diseases,171
2017,South Australia,Conflict and terrorism,0
2017,South Australia,Diabetes mellitus,465
2017,South Australia,Diarrheal diseases,26
2017,South Australia,Digestive diseases,527
2017,South Australia,Drowning,9
2017,South Australia,Drug use disorders,1
2017,South Australia,Environmental heat and cold exposure,7
2017,South Australia,Exposure to forces of nature,4
2017,South Australia,"Fire, heat, and hot substances",8
2017,South Australia,HIV/AIDS,5
2017,South Australia,Interpersonal violence,26
2017,South Australia,Lower respiratory infections,449
2017,South Australia,Malaria,0
2017,South Australia,Maternal disorders,0
2017,South Australia,Meningitis,6
2017,South Australia,Neonatal disorders,29
2017,South Australia,Neoplasms,3900
2017,South Australia,Nutritional deficiencies,4
